Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 4/24/2020 5:05:32 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
125187,AESTHINT 12,Poetry in America,001,General Education,"New,Elisa",37,0,0,0,0,0,0,37
124923,AESTHINT 15,Elements of Rhetoric,001,General Education,"Engell,James",67,0,0,0,0,0,0,67
110592,AESTHINT 29,Modern Jewish Literature,001,General Education,"Wisse,Ruth",39,2,0,0,0,0,0,41
123914,AESTHINT 30,Love In A Dead Language,001,General Education,"Patil,Parimal G.",20,0,0,2,0,0,0,22
123913,AESTHINT 36,Buddhism and Japanese Culture,001,General Education,"Abe,Ryuichi",69,0,0,1,0,0,0,70
126548,AESTHINT 38,The English Lang as Literature,001,General Education,"Albright,Daniel",28,0,0,0,0,0,0,28
109449,AESTHINT 43,Visual Culture of Ottoman Emp,001,General Education,"Necipoglu-Kafadar,Gulru",5,1,0,0,0,0,0,6
127928,AESTHINT 47,Forbidden Romance Modern China,001,General Education,"Wang,David",25,0,0,0,0,0,0,25
125190,AESTHINT 54,For the Love of God and His,001,General Education,"Asani,Ali S.",41,0,0,0,0,0,0,41
124798,AESTHINT 60,Lit and Art in an Era of Crisi,001,General Education,"Grabowicz,George",3,0,0,0,0,0,0,3
122910,AFRAMER 10,Intro to African Amer Studies,001,African & African Amer Studies,"Gates Jr,Henry Louis",82,0,0,1,0,0,0,83
127142,AFRAMER 104,"Witchcraft, Rituals and",001,African & African Amer Studies,"Beliso-De Jesus,Aisha Mahina",2,1,0,1,0,0,0,4
144199,AFRAMER 118,The Hist of African Americans,001,African & African Amer Studies,"Jackson,Kellie C",14,1,0,2,0,0,0,17
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",001,African & African Amer Studies,"Martin,Carla Denny",13,0,0,0,0,0,0,13
111780,AFRAMER 131,"AfrAm Lit, Beginning to Harlem",001,African & African Amer Studies,"Carpio,Glenda",7,4,0,1,0,0,0,12
110293,AFRAMER 134X,Black Love & Politics of Resp,001,African & African Amer Studies,"Morgan,Marcyliena",4,0,0,2,0,0,0,6
109466,AFRAMER 140X,"Film, Fiction and Diaspora",001,African & African Amer Studies,"Jeyifo,Biodun",9,0,0,0,0,0,0,9
125928,AFRAMER 161,"Religion, Diaspora, and",001,African & African Amer Studies,"Olupona,Jacob",1,2,0,0,0,0,0,3
108677,AFRAMER 189X,"Medicine, Culture, and Society",001,African & African Amer Studies,"Comaroff,Jean",14,3,1,0,0,0,0,18
108678,AFRAMER 190X,The Anthropology of Law,001,African & African Amer Studies,"Comaroff,John",2,3,1,1,0,0,0,7
122498,AFRAMER 192X,Religion and Society in Nigeri,001,African & African Amer Studies,"Olupona,Jacob",2,1,0,0,0,0,0,3
110140,AFRAMER 196X,Contemporary Africa and,001,African & African Amer Studies,"Vinck,Patrick",9,0,0,2,0,0,0,11
123435,AFRAMER 197,"Poverty, Race, and Health",001,African & African Amer Studies,"Williams,David",10,0,0,0,0,0,0,10
108694,AFRAMER 209B,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",6,2,0,3,0,0,0,11
110106,AFRAMER 216,Mau Mau on Trial,001,African & African Amer Studies,"Elkins,Caroline",2,0,0,0,0,0,0,2
109464,AFRAMER 217,Themes in Modern African Histo,001,African & African Amer Studies,"Elkins,Caroline",4,4,0,2,0,0,0,10
116185,AFRAMER 302,Graduate Seminar,001,African & African Amer Studies,"Sidanius,James",0,6,0,0,0,0,0,6
122706,AFRAMER 398,Reading and Research,001,African & African Amer Studies,"Akyeampong,Emmanuel",0,1,1,0,0,0,0,2
118965,AFRAMER 90R,African Language Tutorials,001,African & African Amer Studies,"Mugane,John M",6,0,0,0,0,0,0,6
126300,AFRAMER 90R.A,Amharic,001,African & African Amer Studies,"Mugane,John M",3,1,0,2,0,0,0,6
109427,AFRAMER 90R.A1,Afrikaans,001,African & African Amer Studies,"Mugane,John M",4,1,0,0,0,0,0,5
110272,AFRAMER 90R.A2,Hassaniyah,001,African & African Amer Studies,"Mugane,John M",1,1,0,1,0,0,0,3
110404,AFRAMER 90R.A3,Tshiluba,001,African & African Amer Studies,"Mugane,John M",0,2,0,0,0,0,0,2
126301,AFRAMER 90R.B,Bamanakan,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
126306,AFRAMER 90R.G,Haitian Creole,001,African & African Amer Studies,"Mugane,John M",4,0,0,1,0,0,0,5
126307,AFRAMER 90R.H,Hausa,001,African & African Amer Studies,"Mugane,John M",1,0,0,1,0,0,0,2
126308,AFRAMER 90R.I,Igbo,001,African & African Amer Studies,"Mugane,John M",10,0,0,1,0,0,0,11
126309,AFRAMER 90R.J,Kinyarwanda,001,African & African Amer Studies,"Mugane,John M",2,2,0,1,0,0,0,5
126310,AFRAMER 90R.K,Luganda,001,African & African Amer Studies,"Mugane,John M",0,0,0,1,0,0,0,1
126312,AFRAMER 90R.M,Somali,001,African & African Amer Studies,"Mugane,John M",1,1,0,0,0,0,0,2
126314,AFRAMER 90R.O,Wolof,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
126316,AFRAMER 90R.Q,Zulu,001,African & African Amer Studies,"Mugane,John M",5,0,0,0,0,0,0,5
127929,AFRAMER 90R.U,Sudanese Arabic,001,African & African Amer Studies,"Mugane,John M",1,0,0,1,0,0,0,2
127934,AFRAMER 90R.V,Pulaar,001,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,1
109290,AFRAMER 90R.Z,Lingala,001,African & African Amer Studies,"Mugane,John M",2,1,1,0,0,0,0,4
123590,AFRAMER 97,Sophomore Tutorial,001,African & African Amer Studies,"Martin,Carla Denny",11,0,0,0,0,0,0,11
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Monson,Ingrid",1,0,0,0,0,0,0,1
