Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 1/7/2021 1:59:03 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
123591,AFRAMER 11,Introduction to African Studie,001,African & African Amer Studies,"Agbiboa,Daniel",9,0,0,0,0,0,0,9
144199,AFRAMER 118,The Hist of African Americans,LEC,African & African Amer Studies,"Brown,Vincent",19,2,0,0,0,0,0,21
215997,AFRAMER 128X,People as Infrastructure: The,LEC,African & African Amer Studies,"Agbiboa,Daniel",4,3,0,1,0,0,0,8
216014,AFRAMER 129XA,"Philosophy, Social Thought, an",LEC,African & African Amer Studies,"Terry,Brandon Michael",0,4,0,0,0,0,0,4
207805,AFRAMER 131Y,Black Womens Voices in the #Me,LEC,African & African Amer Studies,"Chavers,Linda",18,0,0,0,0,0,0,18
110293,AFRAMER 134X,Black Love & Politics of Resp,LEC,African & African Amer Studies,"Morgan,Marcyliena",20,3,0,1,0,1,0,25
108837,AFRAMER 145X,The Hiphop Cipher,LEC,African & African Amer Studies,"Morgan,Marcyliena",23,0,0,1,0,0,0,24
216732,AFRAMER 181X,African Religion in the Diaspo,001,African & African Amer Studies,"Olupona,Jacob",4,2,0,0,0,0,0,6
216020,AFRAMER 188Y,Writing Africa Today,001,African & African Amer Studies,"Coulibaly,Bojana",0,1,0,0,0,0,0,1
216021,AFRAMER 188Z,"African Voices for Freedom, Ci",LEC,African & African Amer Studies,"Coulibaly,Bojana",1,1,1,0,0,0,0,3
215998,AFRAMER 189Y,Sources of Interracial Econom,001,African & African Amer Studies,"Rivers,Jacqueline Olga cooke",8,2,1,2,0,0,0,13
123435,AFRAMER 197,"Poverty, Race, and Health",01,African & African Amer Studies,"Williams,David",38,5,2,5,0,0,0,50
118883,AFRAMER 20,African Languages & Cultures,1,African & African Amer Studies,"Mugane,John M",4,0,0,1,0,0,0,5
115731,AFRAMER 310,Individual Reading Tutorial,031,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
210981,AFRAMER 392,"Teaching, Writing, and Researc",001,African & African Amer Studies,"Shelby,Tommie",0,20,0,0,0,0,0,20
122706,AFRAMER 398,Reading and Research,031,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
115733,AFRAMER 399,Direction of Doctoral,031,African & African Amer Studies,"Shelby,Tommie",0,1,0,0,0,0,0,1
110605,AFRAMER 91R,Supervised Reading and Researc,001,African & African Amer Studies,"Carpio,Glenda",1,0,0,0,0,0,0,1
118023,AFRAMER 98,Junior Tutorial - African Am,001,African & African Amer Studies,"Carpio,Glenda",2,0,0,0,0,0,0,2
124132,AFRAMER 99A,Senior Thesis Workshop,001,African & African Amer Studies,"Carpio,Glenda",4,0,0,0,0,0,0,4
109427,AFRIKAAN AA,Elementary Afrikaans,001,African & African Amer Studies,"Mugane,John M",9,0,0,0,0,0,0,9
205832,AFRIKAAN BA,Intermediate Afrikaans,001,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2
122679,AFVS 107,Studies of Built N Amer Enviro,001,"Art, Film, and Visual Studies","Stilgoe,John R.",7,0,0,0,0,0,0,7
108657,AFVS 108,Stranger than Fiction,1,"Art, Film, and Visual Studies","Lambert-Beatty,Carrie",0,0,0,2,0,0,0,2
203313,AFVS 112,Drawing 2: Model Witness,1,"Art, Film, and Visual Studies","Burin,Katarina",12,1,0,3,0,0,0,16
216297,AFVS 120,Thinking With Your Hand,001,"Art, Film, and Visual Studies","Belzer,Judith",10,0,0,0,0,0,0,10
216299,AFVS 133,"Sun & Shadow, Sculpture St",001,"Art, Film, and Visual Studies","Schultz,Nora",5,1,0,1,0,0,0,7
216782,AFVS 134S,"Performance, Tech, and Refusal",1,"Art, Film, and Visual Studies","Jane,E.",3,0,0,2,0,0,0,5
205346,AFVS 141BR,Making Mischief: Studio Sem.,1,"Art, Film, and Visual Studies","Harper,Sharon C.",8,0,0,2,0,0,0,10
213475,AFVS 144M,Photography and Ecology,1,"Art, Film, and Visual Studies","Best,Makeda Djata",13,0,0,1,0,0,0,14
114116,AFVS 150A,Film Directing: Fiction Now,001,"Art, Film, and Visual Studies","Sotomayor Castillo,Dominga",6,0,0,2,0,0,0,8
113447,AFVS 151BR,Nonfiction Video Projects,001,"Art, Film, and Visual Studies","McElwee,Ross",4,0,0,0,0,0,0,4
115390,AFVS 153AR,Experimental Animation,001,"Art, Film, and Visual Studies","Lee,Young Joo",7,1,0,1,0,0,0,9
216294,AFVS 154M,Social Justice Filmmaking,001,"Art, Film, and Visual Studies","Mallozzi,Julie",3,3,0,3,0,0,0,9
216367,AFVS 158CR,Sensory Ethnography III,001,"Art, Film, and Visual Studies","Paravel,Verena",0,2,0,0,0,0,0,2
216368,AFVS 158DR,Sensory Ethnography IV,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,2,0,0,0,0,0,2
117143,AFVS 166,North Am Seacoasts & Landscape,001,"Art, Film, and Visual Studies","Stilgoe,John R.",5,0,0,0,0,0,0,5
216313,AFVS 169S,Remapping Latin American Cinem,001,"Art, Film, and Visual Studies","Guest,Haden",7,3,0,0,0,0,1,11
116003,AFVS 16R,Relief Printmaking,001,"Art, Film, and Visual Studies","Lemieux,Annette",12,0,0,0,0,0,0,12
216346,AFVS 179,Political Cinema,001,"Art, Film, and Visual Studies","Lim,Dennis",15,2,0,1,0,0,0,18
108847,AFVS 183T,Cinema and the Auteur,001,"Art, Film, and Visual Studies","Conley,Tom",3,1,1,1,0,0,0,6
108847,AFVS 183T,Cinema and the Auteur,D01,"Art, Film, and Visual Studies",,0,0,0,0,0,0,0,0
216275,AFVS 184E,"Under Surveillance: Media, Sec",001,"Art, Film, and Visual Studies","Rentschler,Eric",4,0,0,4,0,0,0,8
119636,AFVS 196R,Directed Rsch: Studio Course,001,"Art, Film, and Visual Studies","Prina,Stephen",2,3,0,3,0,0,0,8
213421,AFVS 231,Studio Language,001,"Art, Film, and Visual Studies","Schultz,Nora",6,0,0,1,0,0,0,7
110046,AFVS 241,New Media Theory,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,5,0,3,0,0,0,8
122080,AFVS 271,Proseminar in Film & Visual St,001,"Art, Film, and Visual Studies","Bruno,Giuliana",0,5,0,1,0,0,0,6
108653,AFVS 283,Screens,001,"Art, Film, and Visual Studies","Bruno,Giuliana",0,1,0,1,0,0,0,2
216303,AFVS 293,From Biopolitics to Care of th,001,"Art, Film, and Visual Studies","Joselit,David",0,12,0,0,0,0,0,12
122841,AFVS 301,Film and Visual Studies Worksh,001,"Art, Film, and Visual Studies","Rentschler,Eric",0,21,0,0,0,0,0,21
208018,AFVS 305,FVS Dissertation Group,001,"Art, Film, and Visual Studies","Frahm,Laura A.",0,9,0,0,0,0,0,9
124317,AFVS 310,Reading and Research,001,"Art, Film, and Visual Studies","Joselit,David",0,19,0,0,0,0,0,19
124316,AFVS 320,Directed Study,001,"Art, Film, and Visual Studies","Joselit,David",0,1,0,0,0,0,0,1
156525,AFVS 330R,Teaching Workshop,001,"Art, Film, and Visual Studies","Joselit,David",0,14,0,0,0,0,0,14
127539,AFVS 351HF,Non-Fiction Filmmaking Wkshp,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,2,0,0,0,0,0,2
216340,AFVS 352,CMP Projects: Production and P,001,"Art, Film, and Visual Studies","Pimenta,Joana",0,4,0,1,0,0,0,5
156526,AFVS 355R,Adv. Critical Media Practice,001,"Art, Film, and Visual Studies","Castaing-Taylor,Lucien",0,2,0,2,0,0,0,4
119646,AFVS 37,Lay of the Land,1,"Art, Film, and Visual Studies","Prina,Stephen",6,0,0,0,0,0,0,6
122184,AFVS 41A,Intro to Photography,1,"Art, Film, and Visual Studies","Harper,Sharon C.",10,0,0,0,0,0,0,10
114351,AFVS 50A,Introduction to Creating Nonfi,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",6,0,0,0,0,0,0,6
107932,AFVS 52R,Mysteries of the Editing Room,001,"Art, Film, and Visual Studies","Moss,Robb",4,1,0,1,2,0,0,8
110676,AFVS 53AR,Fundamentals of Animation,001,"Art, Film, and Visual Studies","Lingford,Ruth Stella",9,0,0,0,0,0,0,9
216338,AFVS 55V,First-Person Cinema,001,"Art, Film, and Visual Studies","Guzzetti,Alfred",6,0,0,0,1,0,0,7
213583,AFVS 64F,Video as Medium,001,"Art, Film, and Visual Studies","Rodriguez,Carissa",7,0,0,0,0,0,0,7
