Term,2024 Fall,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 11/5/2024 9:08:31 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
18759,AFRAMER 10,Intro to African Amer Studies,View AFRAMER 10 in Course Search ,001,African & African Amer Studies,"Perry,Imani",24,0,0,0,0,0,0,24
18791,AFRAMER 11,Introduction to African Studie,View AFRAMER 11 in Course Search ,001,African & African Amer Studies,"Olupona,Jacob",7,0,0,0,0,0,0,7
18848,AFRAMER 111X,Africa in the Twentieth Centur,View AFRAMER 111X in Course Search ,001,African & African Amer Studies,"Ogene,Timothy",12,3,0,3,0,0,0,18
20058,AFRAMER 133Y,The Politics of Paradise: Tour,View AFRAMER 133Y in Course Search ,001,African & African Amer Studies,"Henry,Amber M.",6,0,0,1,0,0,0,7
20110,AFRAMER 146X,A Black History of Electronic,View AFRAMER 146X in Course Search ,001,African & African Amer Studies,"aumoithe,george",10,1,0,0,0,0,0,11
18830,AFRAMER 166X,African Language Archives in,View AFRAMER 166X in Course Search ,001,African & African Amer Studies,"Mugane,John M",2,0,0,2,0,0,0,4
18987,AFRAMER 178X,Art of the Black World,View AFRAMER 178X in Course Search ,001,African & African Amer Studies,"Blier,Suzanne",8,0,0,0,0,0,0,8
14330,AFRAMER 197,"Poverty, Race, and Health",View AFRAMER 197 in Course Search ,001,African & African Amer Studies,"Williams,David",36,0,0,1,1,0,0,38
18992,AFRAMER 198Y,The Black Press in Latin Ameri,View AFRAMER 198Y in Course Search ,001,African & African Amer Studies,"Alberto,Paulina L",0,1,0,0,0,0,0,1
18989,AFRAMER 199X,Social Revolutions in Latin,View AFRAMER 199X in Course Search ,001,African & African Amer Studies,"de la Fuente,Alejandro",5,0,0,0,0,0,0,5
