Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 3/26/2025 8:00:16 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
13341,AFRAMER 119X,"Chocolate, Culture, and Politi",View AFRAMER 119X in Course Search ,001,African & African Amer Studies,"Martin,Carla Denny",32,0,0,3,0,0,0,35
14948,AFRAMER 123Z,American Democracy,View AFRAMER 123Z in Course Search ,001,African & African Amer Studies,"Stauffer,John",5,0,0,0,0,0,0,5
20944,AFRAMER 124,Tobacco and Sugar,View AFRAMER 124 in Course Search ,001,African & African Amer Studies,"Sommer,Doris",2,1,0,1,0,0,0,4
20931,AFRAMER 132Z,VIsion and Justice,View AFRAMER 132Z in Course Search ,001,African & African Amer Studies,"Lewis,Sarah Elizabeth",2,0,0,0,0,0,0,2
20943,AFRAMER 135Y,Black Feminist Theory Seminar,View AFRAMER 135Y in Course Search ,001,African & African Amer Studies,"Perry,Imani",8,3,0,1,0,0,0,12
15433,AFRAMER 143Y,African Landscape Architecture,View AFRAMER 143Y in Course Search ,001,African & African Amer Studies,"Doherty,Gareth",4,0,0,0,0,0,0,4
21875,AFRAMER 154Y,African American Fraternal Ass,View AFRAMER 154Y in Course Search ,001,African & African Amer Studies,"Skocpol,Theda R",1,0,0,0,0,0,0,1
20946,AFRAMER 159Y,Healthcare and the Welfare Sta,View AFRAMER 159Y in Course Search ,001,African & African Amer Studies,"aumoithe,george",1,1,0,1,0,0,0,3
14378,AFRAMER 177X,W.E.B. Du Bois and His Critic,View AFRAMER 177X in Course Search ,001,African & African Amer Studies,"Gates Jr,Henry Louis",9,2,0,4,0,1,0,16
20957,AFRAMER 186,"Religion, Culture, and Society",View AFRAMER 186 in Course Search ,001,African & African Amer Studies,"Olupona,Jacob",6,3,0,0,0,0,0,9
13198,AFRAMER 191X,African Am Lives in the Law,View AFRAMER 191X in Course Search ,001,African & African Amer Studies,"Higginbotham,Evelyn Brooks",7,3,0,2,0,0,0,12
21194,AFRAMER 223,Storied Lives: Methods in Oral,View AFRAMER 223 in Course Search ,001,African & African Amer Studies,"Henry,Amber M.",0,24,0,4,0,0,0,28
22159,AFRAMER 310,Individual Reading Tutorial,View AFRAMER 310 in Course Search ,03,African & African Amer Studies,"Alberto,Paulina L",0,0,0,0,0,0,0,0
