Class Enrollment Summary by Term with Prompt,,,,,,,,,,,,,,
Time run: 4/17/2025 8:00:19 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Class Number,Course Title,Course Name,View in Course Search,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
15920,AFRAMER 133Y,The Politics of Paradise: Tour,View AFRAMER 133Y in Course Search ,001,African & African Amer Studies,"Henry,Amber M.",7,0,0,1,0,0,0,8
19172,AFRAMER 134Y,The Philosophy and Politics of,View AFRAMER 134Y in Course Search ,001,African & African Amer Studies,"Terry,Brandon Michael",10,0,0,0,0,0,0,10
15947,AFRAMER 146X,A Black History of Electronic,View AFRAMER 146X in Course Search ,001,African & African Amer Studies,"aumoithe,george",14,0,0,1,0,0,0,15
15209,AFRAMER 166X,African Language Archives in,View AFRAMER 166X in Course Search ,001,African & African Amer Studies,"Mugane,John M",1,0,0,0,0,0,0,1
13718,AFRAMER 197,"Poverty, Race, and Health",View AFRAMER 197 in Course Search ,001,African & African Amer Studies,"Williams,David",28,0,0,0,0,0,0,28
17065,AFRAMER 201,Theory and Race in Africa,View AFRAMER 201 in Course Search ,001,African & African Amer Studies,"Agbiboa,Daniel",1,5,0,0,0,0,0,6
17069,AFRAMER 219A,Race and Ethnicity in Latin Am,View AFRAMER 219A in Course Search ,001,African & African Amer Studies,"de la Fuente,Alejandro",0,7,0,0,0,0,0,7
18711,AFRAMER 221,Comparative Slavery & the Law:,View AFRAMER 221 in Course Search ,001,African & African Amer Studies,"Akyeampong,Emmanuel",0,2,0,0,0,0,0,2
17084,AFRAMER 224,African Postcolonial State,View AFRAMER 224 in Course Search ,001,African & African Amer Studies,"Glovsky,David Newman",2,2,0,0,0,0,0,4
19065,AFRAMER 234,Black Classicisms,View AFRAMER 234 in Course Search ,001,African & African Amer Studies,"Greenwood,Emily",3,0,0,0,0,0,0,3
