course_code,subject,term_value,term_text,scrape_timestamp,enrollment,capacity,seats_open,course_title,distribution_area,status
AAS 225,AAS,1262,25-26 Fall,2025-08-01T16:56:07.029718,11.0,15.0,4.0,"Martin, Malcolm, andElla",CD or EM,
AAS 228,AAS,1262,25-26 Fall,2025-08-01T16:56:07.029920,24.0,75.0,51.0,Intro Topics in Race and Public Policy: Race and Inequality in AmericanDemocracy,CD or HA,
AAS 229,AAS,1262,25-26 Fall,2025-08-01T16:56:07.029985,12.0,18.0,6.0,"Intro Topics in Global Race and Ethnicity: GlobalBlackness:Migration,Diaspora&Citizenship in the Age ofBordering",CD or LA,
AAS 230,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030048,24.0,50.0,26.0,Introduction to Law and Public Policy in African AmericanHistory,SA,
AAS 245,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030112,13.0,30.0,17.0,Introduction to 20th-Century African AmericanArt,LA,
AAS 248,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030173,8.0,50.0,42.0,Black Women's History in theU.S.,CD or HA,
AAS 253,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030236,26.0,45.0,19.0,Introduction to African American Literature to1910,LA,
AAS 268,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030296,35.0,39.0,4.0,Introduction to African American History SinceEmancipation,CD or HA,
AAS 300,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030381,6.0,13.0,7.0,Junior Seminar: Research and Writing in African AmericanStudies,SA,
AAS 321,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030439,42.0,45.0,3.0,Black Rage and BlackPower,HA,
AAS 322,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030496,11.0,15.0,4.0,Afro-Diasporic Dialogues: Black Activism in Latin America and the UnitedStates,CD or HA,
AAS 420,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030554,10.0,12.0,2.0,Museums andMedicine,CD,
AAS 430,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030612,8.0,14.0,6.0,"Advanced Topics in African American Culture & Life: Black Disability Studies, Black DisabilityHistories",CD or HA,
AAS 443,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030671,9.0,13.0,4.0,Black Worldmaking: Freedom Movements Then andNow,CD or HA,
AAS 498,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030728,12.0,30.0,18.0,Senior Thesis I(Year-Long),,
AAS 522,AAS,1262,25-26 Fall,2025-08-01T16:56:07.030785,0.0,0.0,0.0,Publishing Journal Articles in the Humanities and SocialSciences,,Canceled
AFS 356,AFS,1262,25-26 Fall,2025-08-01T16:56:07.030845,17.0,18.0,1.0,Red Sea Worlds: Ancient Africa andArabia,HA,
AMS 101,AMS,1262,25-26 Fall,2025-08-01T16:56:07.030903,41.0,65.0,24.0,"Comparative Perspectives on Power, Resistance andChange",CD or EC,
AMS 241,AMS,1262,25-26 Fall,2025-08-01T16:56:07.030961,49.0,50.0,1.0,Villains We Love: The Anti-hero in American Film andTelevision,CD or LA,Closed
AMS 354,AMS,1262,25-26 Fall,2025-08-01T16:56:07.031019,14.0,15.0,1.0,"Creative Ecologies: American Environmental Narrative and Art,1980-2020",SA,Closed
AMS 390,AMS,1262,25-26 Fall,2025-08-01T16:56:07.031076,6.0,15.0,9.0,Sacred Worlds of Early Native America: Mexicas andAlgonquians,HA or LA,
AMS 406,AMS,1262,25-26 Fall,2025-08-01T16:56:07.031133,15.0,15.0,0.0,Advanced Seminar: The Disney IndustrialComplex,HA,Closed
